4:37:32.218233 - debugger.py, 1 - Started
4:37:32.218233 - Interface_Object.py, 2 - Started
4:37:32.218233 - Interface_Object.py, 3 - Initialising constants
4:37:32.219234 - Interface_Object.py, 4 - Constants initialised
4:37:32.219234 - Interface_Object.py, 5 - Interface objects initialising
4:37:32.228235 - Interface_Object.py, 6 - Button exit initialising
4:37:32.228235 - Interface_Object.py, 7 - Button exit initialised as dynamic
4:37:32.228235 - Interface_Object.py, 8 - Button exit initialised
4:37:32.229236 - Interface_Object.py, 9 - Button start_typing initialising
4:37:32.229236 - Interface_Object.py, 10 - Button start_typing initialised as dynamic
4:37:32.229236 - Interface_Object.py, 11 - Button start_typing initialised
4:37:32.231236 - Interface_Object.py, 12 - Button stop_typing initialising
4:37:32.231236 - Interface_Object.py, 13 - Button stop_typing initialised as dynamic
4:37:32.231236 - Interface_Object.py, 14 - Button stop_typing initialised
4:37:32.231236 - Interface_Object.py, 15 - Interface objects initialised
