4:37:35.318353 - debugger.py, 1 - Started
4:37:35.318353 - Brain.py, 2 - Started
4:37:35.320861 - cfg_parser.py, 3 - Started
4:37:35.325367 - Interface_Object.py, 4 - Started
4:37:35.325367 - Interface_Object.py, 5 - Initialising constants
4:37:35.326367 - Interface_Object.py, 6 - Constants initialised
4:37:35.326367 - Interface_Object.py, 7 - Interface objects initialising
4:37:35.337186 - Interface_Object.py, 8 - Button exit initialising
4:37:35.337186 - Interface_Object.py, 9 - Button exit initialised as dynamic
4:37:35.337186 - Interface_Object.py, 10 - Button exit initialised
4:37:35.338186 - Interface_Object.py, 11 - Button start_typing initialising
4:37:35.338186 - Interface_Object.py, 12 - Button start_typing initialised as dynamic
4:37:35.338186 - Interface_Object.py, 13 - Button start_typing initialised
4:37:35.339187 - Interface_Object.py, 14 - Button stop_typing initialising
4:37:35.339187 - Interface_Object.py, 15 - Button stop_typing initialised as dynamic
4:37:35.339187 - Interface_Object.py, 16 - Button stop_typing initialised
4:37:35.339187 - Interface_Object.py, 17 - Interface objects initialised
4:37:35.339187 - Interface.py, 18 - Started
4:37:35.339187 - Interface.py, 19 - Initialising display
4:37:35.491235 - Interface.py, 20 - Display initialised
4:37:35.491235 - Interface.py, 21 - Main cycle iteration
4:37:35.509243 - Interface_Object.py, 22 - Button exit intersection check
4:37:35.509243 - Interface_Object.py, 23 - Button exit press check
4:37:35.509243 - Interface_Object.py, 24 - Button exit intersection check failed
4:37:35.509243 - Interface_Object.py, 25 - Button start_typing intersection check
4:37:35.509243 - Interface_Object.py, 26 - Button start_typing press check
4:37:35.509243 - Interface_Object.py, 27 - Button start_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 28 - Button stop_typing intersection check
4:37:35.509243 - Interface_Object.py, 29 - Button stop_typing press check
4:37:35.509243 - Interface_Object.py, 30 - Button stop_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 31 - Button exit intersection check
4:37:35.509243 - Interface_Object.py, 32 - Button exit press check
4:37:35.509243 - Interface_Object.py, 33 - Button exit intersection check failed
4:37:35.509243 - Interface_Object.py, 34 - Button start_typing intersection check
4:37:35.509243 - Interface_Object.py, 35 - Button start_typing press check
4:37:35.509243 - Interface_Object.py, 36 - Button start_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 37 - Button stop_typing intersection check
4:37:35.509243 - Interface_Object.py, 38 - Button stop_typing press check
4:37:35.509243 - Interface_Object.py, 39 - Button stop_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 40 - Button exit intersection check
4:37:35.509243 - Interface_Object.py, 41 - Button exit press check
4:37:35.509243 - Interface_Object.py, 42 - Button exit intersection check failed
4:37:35.509243 - Interface_Object.py, 43 - Button start_typing intersection check
4:37:35.509243 - Interface_Object.py, 44 - Button start_typing press check
4:37:35.509243 - Interface_Object.py, 45 - Button start_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 46 - Button stop_typing intersection check
4:37:35.509243 - Interface_Object.py, 47 - Button stop_typing press check
4:37:35.509243 - Interface_Object.py, 48 - Button stop_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 49 - Button exit intersection check
4:37:35.509243 - Interface_Object.py, 50 - Button exit press check
4:37:35.509243 - Interface_Object.py, 51 - Button exit intersection check failed
4:37:35.509243 - Interface_Object.py, 52 - Button start_typing intersection check
4:37:35.509243 - Interface_Object.py, 53 - Button start_typing press check
4:37:35.509243 - Interface_Object.py, 54 - Button start_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 55 - Button stop_typing intersection check
4:37:35.509243 - Interface_Object.py, 56 - Button stop_typing press check
4:37:35.509243 - Interface_Object.py, 57 - Button stop_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 58 - Button exit intersection check
4:37:35.509243 - Interface_Object.py, 59 - Button exit press check
4:37:35.509243 - Interface_Object.py, 60 - Button exit intersection check failed
4:37:35.509243 - Interface_Object.py, 61 - Button start_typing intersection check
4:37:35.509243 - Interface_Object.py, 62 - Button start_typing press check
4:37:35.509243 - Interface_Object.py, 63 - Button start_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 64 - Button stop_typing intersection check
4:37:35.509243 - Interface_Object.py, 65 - Button stop_typing press check
4:37:35.509243 - Interface_Object.py, 66 - Button stop_typing intersection check failed
4:37:35.509243 - Interface_Object.py, 67 - Button exit intersection check
4:37:35.509243 - Interface_Object.py, 68 - Button exit press check
4:37:35.509243 - Interface_Object.py, 69 - Button exit intersection check failed
4:37:35.509243 - Interface_Object.py, 70 - Button start_typing intersection check
4:37:35.509243 - Interface_Object.py, 71 - Button start_typing press check
4:37:35.509243 - Interface_Object.py, 72 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 73 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 74 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 75 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 76 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 77 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 78 - Button exit press check
4:37:35.517245 - Interface_Object.py, 79 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 80 - Button start_typing intersection check
4:37:35.517245 - Interface_Object.py, 81 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 82 - Button start_typing press check
4:37:35.517245 - Interface_Object.py, 83 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 84 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 85 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 86 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 87 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 88 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 89 - Button exit press check
4:37:35.517245 - Interface_Object.py, 90 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 91 - Button start_typing intersection check
4:37:35.517245 - Interface_Object.py, 92 - Button start_typing press check
4:37:35.517245 - Interface_Object.py, 93 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 94 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 95 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 96 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 97 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 98 - Button exit press check
4:37:35.517245 - Interface_Object.py, 99 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 100 - Button start_typing intersection check
4:37:35.517245 - Interface_Object.py, 101 - Button start_typing press check
4:37:35.517245 - Interface_Object.py, 102 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 103 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 104 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 105 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 106 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 107 - Button exit press check
4:37:35.517245 - Interface_Object.py, 108 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 109 - Button start_typing intersection check
4:37:35.517245 - Interface_Object.py, 110 - Button start_typing press check
4:37:35.517245 - Interface_Object.py, 111 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 112 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 113 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 114 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 115 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 116 - Button exit press check
4:37:35.517245 - Interface_Object.py, 117 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 118 - Button start_typing intersection check
4:37:35.517245 - Interface_Object.py, 119 - Button start_typing press check
4:37:35.517245 - Interface_Object.py, 120 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 121 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 122 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 123 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 124 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 125 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 126 - Button exit press check
4:37:35.517245 - Interface_Object.py, 127 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 128 - Button start_typing intersection check
4:37:35.517245 - Interface_Object.py, 129 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 130 - Button start_typing press check
4:37:35.517245 - Interface_Object.py, 131 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 132 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 133 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 134 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 135 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 136 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 137 - Button exit press check
4:37:35.517245 - Interface_Object.py, 138 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 139 - Button start_typing intersection check
4:37:35.517245 - Interface_Object.py, 140 - Button start_typing press check
4:37:35.517245 - Interface_Object.py, 141 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 142 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 143 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 144 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 145 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 146 - Button exit press check
4:37:35.517245 - Interface_Object.py, 147 - Button exit intersection check failed
4:37:35.517245 - Interface_Object.py, 148 - Button start_typing intersection check
4:37:35.517245 - Interface_Object.py, 149 - Button start_typing press check
4:37:35.517245 - Interface_Object.py, 150 - Button start_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 151 - Button stop_typing intersection check
4:37:35.517245 - Interface_Object.py, 152 - Button stop_typing press check
4:37:35.517245 - Interface_Object.py, 153 - Button stop_typing intersection check failed
4:37:35.517245 - Interface_Object.py, 154 - Button exit intersection check
4:37:35.517245 - Interface_Object.py, 155 - Button exit intersection check failed
4:37:35.518245 - Interface_Object.py, 156 - Button exit press check
4:37:35.518245 - Interface_Object.py, 157 - Button exit intersection check failed
4:37:35.518245 - Interface_Object.py, 158 - Button start_typing intersection check
4:37:35.518245 - Interface_Object.py, 159 - Button start_typing intersection check failed
4:37:35.518245 - Interface_Object.py, 160 - Button start_typing press check
4:37:35.518245 - Interface_Object.py, 161 - Button start_typing intersection check failed
4:37:35.518245 - Interface_Object.py, 162 - Button stop_typing intersection check
4:37:35.518245 - Interface_Object.py, 163 - Button stop_typing intersection check failed
4:37:35.518245 - Interface_Object.py, 164 - Button stop_typing press check
4:37:35.518245 - Interface_Object.py, 165 - Button stop_typing intersection check failed
4:37:35.518245 - Interface.py, 166 - Rendering
4:37:35.518245 - Interface.py, 167 - Rendering sprite
4:37:35.522246 - Interface.py, 168 - Rendering sprite
4:37:35.527247 - Interface.py, 169 - Rendering sprite
4:37:35.531248 - Interface_Object.py, 170 - Button exit rendering
4:37:35.532248 - Interface_Object.py, 171 - Button start_typing rendering
4:37:35.533248 - Interface_Object.py, 172 - Button stop_typing rendering
4:37:35.534249 - Interface.py, 173 - Main cycle iteration
4:37:35.551257 - Interface_Object.py, 174 - Button exit intersection check
4:37:35.551257 - Interface_Object.py, 175 - Button exit intersection check failed
4:37:35.551257 - Interface_Object.py, 176 - Button exit press check
4:37:35.551257 - Interface_Object.py, 177 - Button exit intersection check failed
4:37:35.551257 - Interface_Object.py, 178 - Button start_typing intersection check
4:37:35.551257 - Interface_Object.py, 179 - Button start_typing intersection check failed
4:37:35.551257 - Interface_Object.py, 180 - Button start_typing press check
4:37:35.551257 - Interface_Object.py, 181 - Button start_typing intersection check failed
4:37:35.551257 - Interface_Object.py, 182 - Button stop_typing intersection check
4:37:35.551257 - Interface_Object.py, 183 - Button stop_typing intersection check failed
4:37:35.551257 - Interface_Object.py, 184 - Button stop_typing press check
4:37:35.551257 - Interface_Object.py, 185 - Button stop_typing intersection check failed
4:37:35.551257 - Interface.py, 186 - Rendering
4:37:35.551257 - Interface.py, 187 - Rendering sprite
4:37:35.556258 - Interface.py, 188 - Rendering sprite
4:37:35.560259 - Interface.py, 189 - Rendering sprite
4:37:35.565260 - Interface_Object.py, 190 - Button exit rendering
4:37:35.566261 - Interface_Object.py, 191 - Button start_typing rendering
4:37:35.566261 - Interface_Object.py, 192 - Button stop_typing rendering
4:37:35.567261 - Interface.py, 193 - Main cycle iteration
4:37:35.583771 - Interface_Object.py, 194 - Button exit intersection check
4:37:35.583771 - Interface_Object.py, 195 - Button exit intersection check failed
4:37:35.583771 - Interface_Object.py, 196 - Button exit press check
4:37:35.583771 - Interface_Object.py, 197 - Button exit intersection check failed
4:37:35.583771 - Interface_Object.py, 198 - Button start_typing intersection check
4:37:35.583771 - Interface_Object.py, 199 - Button start_typing intersection check failed
4:37:35.583771 - Interface_Object.py, 200 - Button start_typing press check
4:37:35.583771 - Interface_Object.py, 201 - Button start_typing intersection check failed
4:37:35.583771 - Interface_Object.py, 202 - Button stop_typing intersection check
4:37:35.583771 - Interface_Object.py, 203 - Button stop_typing intersection check failed
4:37:35.583771 - Interface_Object.py, 204 - Button stop_typing press check
4:37:35.583771 - Interface_Object.py, 205 - Button stop_typing intersection check failed
4:37:35.583771 - Interface.py, 206 - Rendering
4:37:35.583771 - Interface.py, 207 - Rendering sprite
4:37:35.588772 - Interface.py, 208 - Rendering sprite
4:37:35.592773 - Interface.py, 209 - Rendering sprite
4:37:35.597775 - Interface_Object.py, 210 - Button exit rendering
4:37:35.598775 - Interface_Object.py, 211 - Button start_typing rendering
4:37:35.598775 - Interface_Object.py, 212 - Button stop_typing rendering
4:37:35.599775 - Interface.py, 213 - Main cycle iteration
4:37:35.616782 - Interface.py, 214 - Rendering
4:37:35.616782 - Interface.py, 215 - Rendering sprite
4:37:35.620783 - Interface.py, 216 - Rendering sprite
4:37:35.625799 - Interface.py, 217 - Rendering sprite
4:37:35.630794 - Interface_Object.py, 218 - Button exit rendering
4:37:35.630794 - Interface_Object.py, 219 - Button start_typing rendering
4:37:35.630794 - Interface_Object.py, 220 - Button stop_typing rendering
4:37:35.631794 - Interface.py, 221 - Main cycle iteration
4:37:35.649259 - Interface_Object.py, 222 - Button exit intersection check
4:37:35.649259 - Interface_Object.py, 223 - Button exit intersection check failed
4:37:35.649259 - Interface_Object.py, 224 - Button exit press check
4:37:35.649259 - Interface_Object.py, 225 - Button exit intersection check failed
4:37:35.649259 - Interface_Object.py, 226 - Button start_typing intersection check
4:37:35.649259 - Interface_Object.py, 227 - Button start_typing intersection check failed
4:37:35.649259 - Interface_Object.py, 228 - Button start_typing press check
4:37:35.649259 - Interface_Object.py, 229 - Button start_typing intersection check failed
4:37:35.649259 - Interface_Object.py, 230 - Button stop_typing intersection check
4:37:35.649259 - Interface_Object.py, 231 - Button stop_typing intersection check failed
4:37:35.649259 - Interface_Object.py, 232 - Button stop_typing press check
4:37:35.649259 - Interface_Object.py, 233 - Button stop_typing intersection check failed
4:37:35.649259 - Interface.py, 234 - Rendering
4:37:35.649259 - Interface.py, 235 - Rendering sprite
4:37:35.654259 - Interface.py, 236 - Rendering sprite
4:37:35.658766 - Interface.py, 237 - Rendering sprite
4:37:35.663768 - Interface_Object.py, 238 - Button exit rendering
4:37:35.663768 - Interface_Object.py, 239 - Button start_typing rendering
4:37:35.663768 - Interface_Object.py, 240 - Button stop_typing rendering
4:37:35.664770 - Interface.py, 241 - Main cycle iteration
4:37:35.681785 - Interface.py, 242 - Rendering
4:37:35.681785 - Interface.py, 243 - Rendering sprite
4:37:35.685809 - Interface.py, 244 - Rendering sprite
4:37:35.690802 - Interface.py, 245 - Rendering sprite
4:37:35.694803 - Interface_Object.py, 246 - Button exit rendering
4:37:35.695803 - Interface_Object.py, 247 - Button start_typing rendering
4:37:35.695803 - Interface_Object.py, 248 - Button stop_typing rendering
4:37:35.696803 - Interface.py, 249 - Main cycle iteration
4:37:35.713808 - Interface.py, 250 - Rendering
4:37:35.713808 - Interface.py, 251 - Rendering sprite
4:37:35.718808 - Interface.py, 252 - Rendering sprite
4:37:35.723821 - Interface.py, 253 - Rendering sprite
4:37:35.727816 - Interface_Object.py, 254 - Button exit rendering
4:37:35.728817 - Interface_Object.py, 255 - Button start_typing rendering
4:37:35.728817 - Interface_Object.py, 256 - Button stop_typing rendering
4:37:35.729817 - Interface.py, 257 - Main cycle iteration
4:37:35.746617 - Interface.py, 258 - Rendering
4:37:35.746617 - Interface.py, 259 - Rendering sprite
4:37:35.751528 - Interface.py, 260 - Rendering sprite
4:37:35.756046 - Interface.py, 261 - Rendering sprite
4:37:35.760039 - Interface_Object.py, 262 - Button exit rendering
4:37:35.761039 - Interface_Object.py, 263 - Button start_typing rendering
4:37:35.761039 - Interface_Object.py, 264 - Button stop_typing rendering
4:37:35.762040 - Interface.py, 265 - Main cycle iteration
4:37:35.778240 - Interface_Object.py, 266 - Button exit intersection check
4:37:35.778240 - Interface_Object.py, 267 - Button exit intersection check failed
4:37:35.778240 - Interface_Object.py, 268 - Button exit press check
4:37:35.778240 - Interface_Object.py, 269 - Button exit intersection check failed
4:37:35.778240 - Interface_Object.py, 270 - Button start_typing intersection check
4:37:35.778240 - Interface_Object.py, 271 - Button start_typing intersection check failed
4:37:35.778240 - Interface_Object.py, 272 - Button start_typing press check
4:37:35.778240 - Interface_Object.py, 273 - Button start_typing intersection check failed
4:37:35.778240 - Interface_Object.py, 274 - Button stop_typing intersection check
4:37:35.778240 - Interface_Object.py, 275 - Button stop_typing intersection check failed
4:37:35.778240 - Interface_Object.py, 276 - Button stop_typing press check
4:37:35.778240 - Interface_Object.py, 277 - Button stop_typing intersection check failed
4:37:35.778240 - Interface.py, 278 - Rendering
4:37:35.778240 - Interface.py, 279 - Rendering sprite
4:37:35.783244 - Interface.py, 280 - Rendering sprite
4:37:35.787338 - Interface.py, 281 - Rendering sprite
4:37:35.792333 - Interface_Object.py, 282 - Button exit rendering
4:37:35.792333 - Interface_Object.py, 283 - Button start_typing rendering
4:37:35.793333 - Interface_Object.py, 284 - Button stop_typing rendering
4:37:35.793333 - Interface.py, 285 - Main cycle iteration
4:37:35.811337 - Interface_Object.py, 286 - Button exit intersection check
4:37:35.811337 - Interface_Object.py, 287 - Button exit intersection check failed
4:37:35.811337 - Interface_Object.py, 288 - Button exit press check
4:37:35.811337 - Interface_Object.py, 289 - Button exit intersection check failed
4:37:35.811337 - Interface_Object.py, 290 - Button start_typing intersection check
4:37:35.811337 - Interface_Object.py, 291 - Button start_typing intersection check failed
4:37:35.811337 - Interface_Object.py, 292 - Button start_typing press check
4:37:35.811337 - Interface_Object.py, 293 - Button start_typing intersection check failed
4:37:35.811337 - Interface_Object.py, 294 - Button stop_typing intersection check
4:37:35.811337 - Interface_Object.py, 295 - Button stop_typing intersection check failed
4:37:35.811337 - Interface_Object.py, 296 - Button stop_typing press check
4:37:35.811337 - Interface_Object.py, 297 - Button stop_typing intersection check failed
4:37:35.811337 - Interface.py, 298 - Rendering
4:37:35.811337 - Interface.py, 299 - Rendering sprite
4:37:35.816339 - Interface.py, 300 - Rendering sprite
4:37:35.820340 - Interface.py, 301 - Rendering sprite
4:37:35.825342 - Interface_Object.py, 302 - Button exit rendering
4:37:35.825342 - Interface_Object.py, 303 - Button start_typing rendering
4:37:35.826341 - Interface_Object.py, 304 - Button stop_typing rendering
4:37:35.826341 - Interface.py, 305 - Main cycle iteration
4:37:35.843355 - Interface_Object.py, 306 - Button exit intersection check
4:37:35.843355 - Interface_Object.py, 307 - Button exit intersection check failed
4:37:35.843355 - Interface_Object.py, 308 - Button exit press check
4:37:35.843355 - Interface_Object.py, 309 - Button exit intersection check failed
4:37:35.843355 - Interface_Object.py, 310 - Button start_typing intersection check
4:37:35.843355 - Interface_Object.py, 311 - Button start_typing intersection check failed
4:37:35.843355 - Interface_Object.py, 312 - Button start_typing press check
4:37:35.843355 - Interface_Object.py, 313 - Button start_typing intersection check failed
4:37:35.843355 - Interface_Object.py, 314 - Button stop_typing intersection check
4:37:35.843355 - Interface_Object.py, 315 - Button stop_typing intersection check failed
4:37:35.843355 - Interface_Object.py, 316 - Button stop_typing press check
4:37:35.843355 - Interface_Object.py, 317 - Button stop_typing intersection check failed
4:37:35.843355 - Interface.py, 318 - Rendering
4:37:35.843355 - Interface.py, 319 - Rendering sprite
4:37:35.848358 - Interface.py, 320 - Rendering sprite
4:37:35.852358 - Interface.py, 321 - Rendering sprite
4:37:35.857378 - Interface_Object.py, 322 - Button exit rendering
4:37:35.857885 - Interface_Object.py, 323 - Button start_typing rendering
4:37:35.857885 - Interface_Object.py, 324 - Button stop_typing rendering
4:37:35.858882 - Interface.py, 325 - Main cycle iteration
4:37:35.875182 - Interface_Object.py, 326 - Button exit intersection check
4:37:35.875182 - Interface_Object.py, 327 - Button exit intersection check failed
4:37:35.875182 - Interface_Object.py, 328 - Button exit press check
4:37:35.875182 - Interface_Object.py, 329 - Button exit intersection check failed
4:37:35.875182 - Interface_Object.py, 330 - Button start_typing intersection check
4:37:35.875182 - Interface_Object.py, 331 - Button start_typing intersection check failed
4:37:35.875182 - Interface_Object.py, 332 - Button start_typing press check
4:37:35.875182 - Interface_Object.py, 333 - Button start_typing intersection check failed
4:37:35.875182 - Interface_Object.py, 334 - Button stop_typing intersection check
4:37:35.875182 - Interface_Object.py, 335 - Button stop_typing intersection check failed
4:37:35.875182 - Interface_Object.py, 336 - Button stop_typing press check
4:37:35.875182 - Interface_Object.py, 337 - Button stop_typing intersection check failed
4:37:35.875182 - Interface.py, 338 - Rendering
4:37:35.875182 - Interface.py, 339 - Rendering sprite
4:37:35.880183 - Interface.py, 340 - Rendering sprite
