5:4:39.389867 - debugger.py, 1 - Started
5:4:39.597913 - Interface_Object.py, 98 - Button exit intersection check
5:4:39.597913 - Interface_Object.py, 99 - Button exit press check
5:4:39.597913 - Interface_Object.py, 100 - Button exit intersection check failed
5:4:39.597913 - Interface_Object.py, 101 - Button start_typing intersection check
5:4:39.597913 - Interface_Object.py, 102 - Button start_typing press check
5:4:39.597913 - Interface_Object.py, 103 - Button start_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 104 - Button stop_typing intersection check
5:4:39.597913 - Interface_Object.py, 105 - Button stop_typing press check
5:4:39.597913 - Interface_Object.py, 106 - Button stop_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 107 - Button exit intersection check
5:4:39.597913 - Interface_Object.py, 108 - Button exit press check
5:4:39.597913 - Interface_Object.py, 109 - Button exit intersection check failed
5:4:39.597913 - Interface_Object.py, 110 - Button start_typing intersection check
5:4:39.597913 - Interface_Object.py, 111 - Button start_typing press check
5:4:39.597913 - Interface_Object.py, 112 - Button start_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 113 - Button stop_typing intersection check
5:4:39.597913 - Interface_Object.py, 114 - Button stop_typing press check
5:4:39.597913 - Interface_Object.py, 115 - Button stop_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 116 - Button exit intersection check
5:4:39.597913 - Interface_Object.py, 117 - Button exit press check
5:4:39.597913 - Interface_Object.py, 118 - Button exit intersection check failed
5:4:39.597913 - Interface_Object.py, 119 - Button start_typing intersection check
5:4:39.597913 - Interface_Object.py, 120 - Button start_typing press check
5:4:39.597913 - Interface_Object.py, 121 - Button start_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 122 - Button stop_typing intersection check
5:4:39.597913 - Interface_Object.py, 123 - Button stop_typing press check
5:4:39.597913 - Interface_Object.py, 124 - Button stop_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 125 - Button exit intersection check
5:4:39.597913 - Interface_Object.py, 126 - Button exit intersection check failed
5:4:39.597913 - Interface_Object.py, 127 - Button exit press check
5:4:39.597913 - Interface_Object.py, 128 - Button exit intersection check failed
5:4:39.597913 - Interface_Object.py, 129 - Button start_typing intersection check
5:4:39.597913 - Interface_Object.py, 130 - Button start_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 131 - Button start_typing press check
5:4:39.597913 - Interface_Object.py, 132 - Button start_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 133 - Button stop_typing intersection check
5:4:39.597913 - Interface_Object.py, 134 - Button stop_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 135 - Button stop_typing press check
5:4:39.597913 - Interface_Object.py, 136 - Button stop_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 137 - Button exit intersection check
5:4:39.597913 - Interface_Object.py, 138 - Button exit press check
5:4:39.597913 - Interface_Object.py, 139 - Button exit intersection check failed
5:4:39.597913 - Interface_Object.py, 140 - Button start_typing intersection check
5:4:39.597913 - Interface_Object.py, 141 - Button start_typing press check
5:4:39.597913 - Interface_Object.py, 142 - Button start_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 143 - Button stop_typing intersection check
5:4:39.597913 - Interface_Object.py, 144 - Button stop_typing press check
5:4:39.597913 - Interface_Object.py, 145 - Button stop_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 146 - Button exit intersection check
5:4:39.597913 - Interface_Object.py, 147 - Button exit press check
5:4:39.597913 - Interface_Object.py, 148 - Button exit intersection check failed
5:4:39.597913 - Interface_Object.py, 149 - Button start_typing intersection check
5:4:39.597913 - Interface_Object.py, 150 - Button start_typing press check
5:4:39.597913 - Interface_Object.py, 151 - Button start_typing intersection check failed
5:4:39.597913 - Interface_Object.py, 152 - Button stop_typing intersection check
5:4:39.597913 - Interface_Object.py, 153 - Button stop_typing press check
5:4:39.597913 - Interface_Object.py, 154 - Button stop_typing intersection check failed
5:4:39.597913 - Interface.py, 155 - Rendering
5:4:39.597913 - Interface.py, 156 - Rendering sprite
5:4:39.603916 - Interface.py, 157 - Rendering sprite
5:4:39.608916 - Interface.py, 158 - Rendering sprite
5:4:39.612917 - Interface_Object.py, 159 - Button exit rendering
5:4:39.613917 - Interface_Object.py, 160 - Button start_typing rendering
5:4:39.614918 - Interface_Object.py, 161 - Button stop_typing rendering
5:4:39.615918 - Interface.py, 162 - Main cycle iteration
5:4:39.632921 - Interface.py, 163 - Rendering
5:4:39.632921 - Interface.py, 164 - Rendering sprite
5:4:39.637922 - Interface.py, 165 - Rendering sprite
5:4:39.642924 - Interface.py, 166 - Rendering sprite
5:4:39.647925 - Interface_Object.py, 167 - Button exit rendering
5:4:39.647925 - Interface_Object.py, 168 - Button start_typing rendering
5:4:39.647925 - Interface_Object.py, 169 - Button stop_typing rendering
5:4:39.648925 - Interface.py, 170 - Main cycle iteration
5:4:39.666062 - Interface.py, 171 - Rendering
5:4:39.666062 - Interface.py, 172 - Rendering sprite
5:4:39.670063 - Interface.py, 173 - Rendering sprite
5:4:39.675064 - Interface.py, 174 - Rendering sprite
5:4:39.680065 - Interface_Object.py, 175 - Button exit rendering
5:4:39.680065 - Interface_Object.py, 176 - Button start_typing rendering
5:4:39.680065 - Interface_Object.py, 177 - Button stop_typing rendering
5:4:39.681067 - Interface.py, 178 - Main cycle iteration
5:4:39.697756 - Interface.py, 179 - Rendering
5:4:39.697756 - Interface.py, 180 - Rendering sprite
5:4:39.702757 - Interface.py, 181 - Rendering sprite
5:4:39.707758 - Interface.py, 182 - Rendering sprite
5:4:39.711759 - Interface_Object.py, 183 - Button exit rendering
5:4:39.712759 - Interface_Object.py, 184 - Button start_typing rendering
5:4:39.712759 - Interface_Object.py, 185 - Button stop_typing rendering
5:4:39.713760 - Interface.py, 186 - Main cycle iteration
5:4:39.730771 - Interface.py, 187 - Rendering
5:4:39.730771 - Interface.py, 188 - Rendering sprite
5:4:39.735773 - Interface.py, 189 - Rendering sprite
5:4:39.740278 - Interface.py, 190 - Rendering sprite
5:4:39.745279 - Interface_Object.py, 191 - Button exit rendering
5:4:39.745279 - Interface_Object.py, 192 - Button start_typing rendering
5:4:39.745279 - Interface_Object.py, 193 - Button stop_typing rendering
5:4:39.746280 - Interface.py, 194 - Main cycle iteration
5:4:39.763283 - Interface.py, 195 - Rendering
5:4:39.763283 - Interface.py, 196 - Rendering sprite
5:4:39.768286 - Interface.py, 197 - Rendering sprite
5:4:39.772794 - Interface.py, 198 - Rendering sprite
5:4:39.777796 - Interface_Object.py, 199 - Button exit rendering
5:4:39.777796 - Interface_Object.py, 200 - Button start_typing rendering
5:4:39.778796 - Interface_Object.py, 201 - Button stop_typing rendering
5:4:39.778796 - Interface.py, 202 - Main cycle iteration
5:4:39.795939 - Interface.py, 203 - Rendering
5:4:39.795939 - Interface.py, 204 - Rendering sprite
5:4:39.799941 - Interface.py, 205 - Rendering sprite
5:4:39.805942 - Interface.py, 206 - Rendering sprite
5:4:39.810943 - Interface_Object.py, 207 - Button exit rendering
5:4:39.810943 - Interface_Object.py, 208 - Button start_typing rendering
5:4:39.811944 - Interface_Object.py, 209 - Button stop_typing rendering
5:4:39.811944 - Interface.py, 210 - Main cycle iteration
5:4:39.828940 - Interface.py, 211 - Rendering
5:4:39.828940 - Interface.py, 212 - Rendering sprite
5:4:39.833942 - Interface.py, 213 - Rendering sprite
5:4:39.839943 - Interface.py, 214 - Rendering sprite
5:4:39.844944 - Interface_Object.py, 215 - Button exit rendering
5:4:39.844944 - Interface_Object.py, 216 - Button start_typing rendering
5:4:39.845945 - Interface_Object.py, 217 - Button stop_typing rendering
5:4:39.845945 - Interface.py, 218 - Main cycle iteration
5:4:39.862948 - Interface.py, 219 - Rendering
5:4:39.862948 - Interface.py, 220 - Rendering sprite
5:4:39.867950 - Interface.py, 221 - Rendering sprite
5:4:39.874460 - Interface.py, 222 - Rendering sprite
5:4:39.881019 - Interface_Object.py, 223 - Button exit rendering
5:4:39.881019 - Interface_Object.py, 224 - Button start_typing rendering
5:4:39.881935 - Interface_Object.py, 225 - Button stop_typing rendering
5:4:39.882937 - Interface.py, 226 - Main cycle iteration
5:4:39.899939 - Interface.py, 227 - Rendering
5:4:39.899939 - Interface.py, 228 - Rendering sprite
5:4:39.904941 - Interface.py, 229 - Rendering sprite
5:4:39.909941 - Interface.py, 230 - Rendering sprite
5:4:39.913942 - Interface_Object.py, 231 - Button exit rendering
5:4:39.914944 - Interface_Object.py, 232 - Button start_typing rendering
5:4:39.914944 - Interface_Object.py, 233 - Button stop_typing rendering
5:4:39.915943 - Interface.py, 234 - Main cycle iteration
5:4:39.932946 - Interface.py, 235 - Rendering
5:4:39.932946 - Interface.py, 236 - Rendering sprite
5:4:39.936947 - Interface.py, 237 - Rendering sprite
5:4:39.941950 - Interface.py, 238 - Rendering sprite
5:4:39.946951 - Interface_Object.py, 239 - Button exit rendering
5:4:39.946951 - Interface_Object.py, 240 - Button start_typing rendering
5:4:39.946951 - Interface_Object.py, 241 - Button stop_typing rendering
5:4:39.947952 - Interface.py, 242 - Main cycle iteration
5:4:39.964830 - Interface.py, 243 - Rendering
5:4:39.964830 - Interface.py, 244 - Rendering sprite
5:4:39.968832 - Interface.py, 245 - Rendering sprite
5:4:39.974004 - Interface.py, 246 - Rendering sprite
5:4:39.978005 - Interface_Object.py, 247 - Button exit rendering
5:4:39.979005 - Interface_Object.py, 248 - Button start_typing rendering
5:4:39.979005 - Interface_Object.py, 249 - Button stop_typing rendering
5:4:39.980005 - Interface.py, 250 - Main cycle iteration
5:4:39.997265 - Interface.py, 251 - Rendering
5:4:39.997265 - Interface.py, 252 - Rendering sprite
5:4:40.2267 - Interface.py, 253 - Rendering sprite
5:4:40.6268 - Interface.py, 254 - Rendering sprite
5:4:40.11270 - Interface_Object.py, 255 - Button exit rendering
5:4:40.11270 - Interface_Object.py, 256 - Button start_typing rendering
5:4:40.11270 - Interface_Object.py, 257 - Button stop_typing rendering
5:4:40.12269 - Interface.py, 258 - Main cycle iteration
5:4:40.29277 - Interface.py, 259 - Rendering
5:4:40.29277 - Interface.py, 260 - Rendering sprite
5:4:40.33278 - Interface.py, 261 - Rendering sprite
5:4:40.38280 - Interface.py, 262 - Rendering sprite
5:4:40.43281 - Interface_Object.py, 263 - Button exit rendering
5:4:40.43281 - Interface_Object.py, 264 - Button start_typing rendering
5:4:40.43281 - Interface_Object.py, 265 - Button stop_typing rendering
5:4:40.44281 - Interface.py, 266 - Main cycle iteration
5:4:40.61251 - Interface.py, 267 - Rendering
5:4:40.61251 - Interface.py, 268 - Rendering sprite
5:4:40.65252 - Interface.py, 269 - Rendering sprite
5:4:40.71254 - Interface.py, 270 - Rendering sprite
5:4:40.77254 - Interface_Object.py, 271 - Button exit rendering
5:4:40.77254 - Interface_Object.py, 272 - Button start_typing rendering
5:4:40.78254 - Interface_Object.py, 273 - Button stop_typing rendering
5:4:40.79255 - Interface.py, 274 - Main cycle iteration
5:4:40.96262 - Interface.py, 275 - Rendering
5:4:40.96262 - Interface.py, 276 - Rendering sprite
5:4:40.101265 - Interface.py, 277 - Rendering sprite
5:4:40.105265 - Interface.py, 278 - Rendering sprite
5:4:40.110266 - Interface_Object.py, 279 - Button exit rendering
5:4:40.110266 - Interface_Object.py, 280 - Button start_typing rendering
5:4:40.111266 - Interface_Object.py, 281 - Button stop_typing rendering
5:4:40.111266 - Interface.py, 282 - Main cycle iteration
5:4:40.128273 - Interface.py, 283 - Rendering
5:4:40.128273 - Interface.py, 284 - Rendering sprite
5:4:40.132275 - Interface.py, 285 - Rendering sprite
5:4:40.137276 - Interface.py, 286 - Rendering sprite
5:4:40.142277 - Interface_Object.py, 287 - Button exit rendering
5:4:40.142277 - Interface_Object.py, 288 - Button start_typing rendering
5:4:40.143277 - Interface_Object.py, 289 - Button stop_typing rendering
5:4:40.143277 - Interface.py, 290 - Main cycle iteration
5:4:40.160252 - Interface.py, 291 - Rendering
5:4:40.160252 - Interface.py, 292 - Rendering sprite
5:4:40.164253 - Interface.py, 293 - Rendering sprite
5:4:40.170256 - Interface.py, 294 - Rendering sprite
5:4:40.174255 - Interface_Object.py, 295 - Button exit rendering
5:4:40.174255 - Interface_Object.py, 296 - Button start_typing rendering
5:4:40.175256 - Interface_Object.py, 297 - Button stop_typing rendering
5:4:40.176256 - Interface.py, 298 - Main cycle iteration
5:4:40.192334 - Interface.py, 299 - Rendering
5:4:40.192334 - Interface.py, 300 - Rendering sprite
5:4:40.196336 - Interface.py, 301 - Rendering sprite
5:4:40.202338 - Interface.py, 302 - Rendering sprite
5:4:40.206339 - Interface_Object.py, 303 - Button exit rendering
5:4:40.206339 - Interface_Object.py, 304 - Button start_typing rendering
5:4:40.207339 - Interface_Object.py, 305 - Button stop_typing rendering
5:4:40.208339 - Interface.py, 306 - Main cycle iteration
5:4:40.225348 - Interface.py, 307 - Rendering
5:4:40.225348 - Interface.py, 308 - Rendering sprite
5:4:40.229349 - Interface.py, 309 - Rendering sprite
5:4:40.234352 - Interface.py, 310 - Rendering sprite
5:4:40.239351 - Interface_Object.py, 311 - Button exit rendering
5:4:40.239351 - Interface_Object.py, 312 - Button start_typing rendering
5:4:40.240352 - Interface_Object.py, 313 - Button stop_typing rendering
5:4:40.240352 - Interface.py, 314 - Main cycle iteration
5:4:40.257355 - Interface.py, 315 - Rendering
5:4:40.257355 - Interface.py, 316 - Rendering sprite
5:4:40.261360 - Interface.py, 317 - Rendering sprite
5:4:40.266357 - Interface.py, 318 - Rendering sprite
5:4:40.271359 - Interface_Object.py, 319 - Button exit rendering
5:4:40.271359 - Interface_Object.py, 320 - Button start_typing rendering
5:4:40.272359 - Interface_Object.py, 321 - Button stop_typing rendering
5:4:40.273360 - Interface.py, 322 - Main cycle iteration
5:4:40.290363 - Interface.py, 323 - Rendering
5:4:40.290363 - Interface.py, 324 - Rendering sprite
5:4:40.295364 - Interface.py, 325 - Rendering sprite
5:4:40.299365 - Interface.py, 326 - Rendering sprite
5:4:40.304366 - Interface_Object.py, 327 - Button exit rendering
5:4:40.305367 - Interface_Object.py, 328 - Button start_typing rendering
5:4:40.305367 - Interface_Object.py, 329 - Button stop_typing rendering
5:4:40.306367 - Interface.py, 330 - Main cycle iteration
5:4:40.323366 - Interface.py, 331 - Rendering
5:4:40.323366 - Interface.py, 332 - Rendering sprite
5:4:40.327366 - Interface.py, 333 - Rendering sprite
5:4:40.332367 - Interface.py, 334 - Rendering sprite
5:4:40.337368 - Interface_Object.py, 335 - Button exit rendering
5:4:40.337368 - Interface_Object.py, 336 - Button start_typing rendering
5:4:40.338368 - Interface_Object.py, 337 - Button stop_typing rendering
5:4:40.339370 - Interface.py, 338 - Main cycle iteration
5:4:40.356372 - Interface.py, 339 - Rendering
5:4:40.356372 - Interface.py, 340 - Rendering sprite
5:4:40.360374 - Interface.py, 341 - Rendering sprite
5:4:40.365374 - Interface.py, 342 - Rendering sprite
5:4:40.370376 - Interface_Object.py, 343 - Button exit rendering
5:4:40.370376 - Interface_Object.py, 344 - Button start_typing rendering
5:4:40.371376 - Interface_Object.py, 345 - Button stop_typing rendering
5:4:40.371376 - Interface.py, 346 - Main cycle iteration
5:4:40.389380 - Interface.py, 347 - Rendering
5:4:40.389380 - Interface.py, 348 - Rendering sprite
5:4:40.393381 - Interface.py, 349 - Rendering sprite
5:4:40.398382 - Interface.py, 350 - Rendering sprite
5:4:40.403417 - Interface_Object.py, 351 - Button exit rendering
5:4:40.403417 - Interface_Object.py, 352 - Button start_typing rendering
5:4:40.404383 - Interface_Object.py, 353 - Button stop_typing rendering
5:4:40.404383 - Interface.py, 354 - Main cycle iteration
5:4:40.421703 - Interface.py, 355 - Rendering
5:4:40.421703 - Interface.py, 356 - Rendering sprite
5:4:40.425703 - Interface.py, 357 - Rendering sprite
5:4:40.430705 - Interface.py, 358 - Rendering sprite
5:4:40.435836 - Interface_Object.py, 359 - Button exit rendering
5:4:40.436707 - Interface_Object.py, 360 - Button start_typing rendering
5:4:40.436707 - Interface_Object.py, 361 - Button stop_typing rendering
5:4:40.437707 - Interface.py, 362 - Main cycle iteration
5:4:40.454710 - Interface.py, 363 - Rendering
5:4:40.454710 - Interface.py, 364 - Rendering sprite
5:4:40.458711 - Interface.py, 365 - Rendering sprite
5:4:40.463712 - Interface.py, 366 - Rendering sprite
5:4:40.468714 - Interface_Object.py, 367 - Button exit rendering
5:4:40.468714 - Interface_Object.py, 368 - Button start_typing rendering
5:4:40.469713 - Interface_Object.py, 369 - Button stop_typing rendering
5:4:40.469713 - Interface.py, 370 - Main cycle iteration
5:4:40.486725 - Interface.py, 371 - Rendering
5:4:40.486725 - Interface.py, 372 - Rendering sprite
5:4:40.490726 - Interface.py, 373 - Rendering sprite
5:4:40.495726 - Interface.py, 374 - Rendering sprite
5:4:40.500727 - Interface_Object.py, 375 - Button exit rendering
5:4:40.500727 - Interface_Object.py, 376 - Button start_typing rendering
5:4:40.500727 - Interface_Object.py, 377 - Button stop_typing rendering
5:4:40.501728 - Interface.py, 378 - Main cycle iteration
5:4:40.519394 - Interface.py, 379 - Rendering
5:4:40.519394 - Interface.py, 380 - Rendering sprite
5:4:40.525395 - Interface.py, 381 - Rendering sprite
5:4:40.529397 - Interface.py, 382 - Rendering sprite
5:4:40.534397 - Interface_Object.py, 383 - Button exit rendering
5:4:40.535398 - Interface_Object.py, 384 - Button start_typing rendering
5:4:40.535398 - Interface_Object.py, 385 - Button stop_typing rendering
5:4:40.536398 - Interface.py, 386 - Main cycle iteration
5:4:40.552882 - Interface.py, 387 - Rendering
5:4:40.552882 - Interface.py, 388 - Rendering sprite
5:4:40.557405 - Interface.py, 389 - Rendering sprite
5:4:40.561409 - Interface.py, 390 - Rendering sprite
5:4:40.566408 - Interface_Object.py, 391 - Button exit rendering
5:4:40.566408 - Interface_Object.py, 392 - Button start_typing rendering
5:4:40.567408 - Interface_Object.py, 393 - Button stop_typing rendering
5:4:40.568409 - Interface.py, 394 - Main cycle iteration
5:4:40.585422 - Interface.py, 395 - Rendering
5:4:40.585422 - Interface.py, 396 - Rendering sprite
5:4:40.589422 - Interface.py, 397 - Rendering sprite
5:4:40.594423 - Interface.py, 398 - Rendering sprite
5:4:40.598424 - Interface_Object.py, 399 - Button exit rendering
5:4:40.599424 - Interface_Object.py, 400 - Button start_typing rendering
5:4:40.599424 - Interface_Object.py, 401 - Button stop_typing rendering
5:4:40.600425 - Interface.py, 402 - Main cycle iteration
5:4:40.617411 - Interface.py, 403 - Rendering
5:4:40.617411 - Interface.py, 404 - Rendering sprite
5:4:40.622412 - Interface.py, 405 - Rendering sprite
5:4:40.626413 - Interface.py, 406 - Rendering sprite
5:4:40.631414 - Interface_Object.py, 407 - Button exit rendering
5:4:40.631414 - Interface_Object.py, 408 - Button start_typing rendering
5:4:40.632414 - Interface_Object.py, 409 - Button stop_typing rendering
5:4:40.632414 - Interface.py, 410 - Main cycle iteration
5:4:40.649418 - Interface.py, 411 - Rendering
5:4:40.649418 - Interface.py, 412 - Rendering sprite
5:4:40.654419 - Interface.py, 413 - Rendering sprite
5:4:40.658420 - Interface.py, 414 - Rendering sprite
5:4:40.663421 - Interface_Object.py, 415 - Button exit rendering
5:4:40.663421 - Interface_Object.py, 416 - Button start_typing rendering
5:4:40.664421 - Interface_Object.py, 417 - Button stop_typing rendering
5:4:40.664421 - Interface.py, 418 - Main cycle iteration
5:4:40.681430 - Interface.py, 419 - Rendering
5:4:40.681430 - Interface.py, 420 - Rendering sprite
5:4:40.685431 - Interface.py, 421 - Rendering sprite
5:4:40.690431 - Interface.py, 422 - Rendering sprite
5:4:40.695433 - Interface_Object.py, 423 - Button exit rendering
5:4:40.695433 - Interface_Object.py, 424 - Button start_typing rendering
5:4:40.695433 - Interface_Object.py, 425 - Button stop_typing rendering
5:4:40.696432 - Interface.py, 426 - Main cycle iteration
5:4:40.713407 - Interface.py, 427 - Rendering
5:4:40.713407 - Interface.py, 428 - Rendering sprite
5:4:40.717408 - Interface.py, 429 - Rendering sprite
5:4:40.722409 - Interface.py, 430 - Rendering sprite
5:4:40.727410 - Interface_Object.py, 431 - Button exit rendering
5:4:40.727410 - Interface_Object.py, 432 - Button start_typing rendering
5:4:40.727410 - Interface_Object.py, 433 - Button stop_typing rendering
5:4:40.728410 - Interface.py, 434 - Main cycle iteration
5:4:40.745441 - Interface.py, 435 - Rendering
5:4:40.745441 - Interface.py, 436 - Rendering sprite
5:4:40.749443 - Interface.py, 437 - Rendering sprite
5:4:40.755444 - Interface.py, 438 - Rendering sprite
5:4:40.759444 - Interface_Object.py, 439 - Button exit rendering
5:4:40.760445 - Interface_Object.py, 440 - Button start_typing rendering
5:4:40.760445 - Interface_Object.py, 441 - Button stop_typing rendering
5:4:40.761446 - Interface.py, 442 - Main cycle iteration
5:4:40.777766 - Interface.py, 443 - Rendering
5:4:40.777766 - Interface.py, 444 - Rendering sprite
5:4:40.781768 - Interface.py, 445 - Rendering sprite
5:4:40.787768 - Interface.py, 446 - Rendering sprite
5:4:40.792770 - Interface_Object.py, 447 - Button exit rendering
5:4:40.792770 - Interface_Object.py, 448 - Button start_typing rendering
5:4:40.792770 - Interface_Object.py, 449 - Button stop_typing rendering
5:4:40.793770 - Interface.py, 450 - Main cycle iteration
5:4:40.811232 - Interface.py, 451 - Rendering
5:4:40.811232 - Interface.py, 452 - Rendering sprite
5:4:40.815234 - Interface.py, 453 - Rendering sprite
5:4:40.820235 - Interface.py, 454 - Rendering sprite
