4:57:11.979924 - debugger.py, 1 - Started
4:57:11.979924 - Brain.py, 2 - Started
4:57:11.983928 - cfg_parser.py, 3 - Started
4:57:11.988926 - Interface_Object.py, 4 - Started
4:57:11.988926 - Interface_Object.py, 5 - Initialising constants
4:57:11.989926 - Interface_Object.py, 6 - Constants initialised
4:57:11.989926 - Interface_Object.py, 7 - Interface objects initialising
4:57:12.1929 - Interface_Object.py, 8 - Button exit initialising
4:57:12.1929 - Interface_Object.py, 9 - Button exit initialised as dynamic
4:57:12.1929 - Interface_Object.py, 10 - Button exit initialised
4:57:12.3436 - Interface_Object.py, 11 - Button start_typing initialising
4:57:12.3436 - Interface_Object.py, 12 - Button start_typing initialised as dynamic
4:57:12.3436 - Interface_Object.py, 13 - Button start_typing initialised
4:57:12.4436 - Interface_Object.py, 14 - Button stop_typing initialising
4:57:12.4436 - Interface_Object.py, 15 - Button stop_typing initialised as dynamic
4:57:12.4436 - Interface_Object.py, 16 - Button stop_typing initialised
4:57:12.4436 - Interface_Object.py, 17 - Interface objects initialised
4:57:12.4436 - Interface.py, 18 - Started
4:57:12.4436 - Interface.py, 19 - Initialising display
4:57:12.176476 - Interface.py, 20 - Display initialised
4:57:12.176476 - Interface.py, 21 - Main cycle iteration
4:57:12.193483 - Interface_Object.py, 22 - Button exit intersection check
4:57:12.193483 - Interface_Object.py, 23 - Button exit press check
4:57:12.193483 - Interface_Object.py, 24 - Button exit intersection check failed
4:57:12.193483 - Interface_Object.py, 25 - Button start_typing intersection check
4:57:12.193483 - Interface_Object.py, 26 - Button start_typing press check
4:57:12.193483 - Interface_Object.py, 27 - Button start_typing intersection check failed
4:57:12.193483 - Interface_Object.py, 28 - Button stop_typing intersection check
4:57:12.193483 - Interface_Object.py, 29 - Button stop_typing press check
4:57:12.193483 - Interface_Object.py, 30 - Button stop_typing intersection check failed
4:57:12.193483 - Interface_Object.py, 31 - Button exit intersection check
4:57:12.194484 - Interface_Object.py, 32 - Button exit press check
4:57:12.194484 - Interface_Object.py, 33 - Button exit intersection check failed
4:57:12.194484 - Interface_Object.py, 34 - Button start_typing intersection check
4:57:12.194484 - Interface_Object.py, 35 - Button start_typing press check
4:57:12.194484 - Interface_Object.py, 36 - Button start_typing intersection check failed
4:57:12.194484 - Interface_Object.py, 37 - Button stop_typing intersection check
4:57:12.194484 - Interface_Object.py, 38 - Button stop_typing press check
4:57:12.194484 - Interface_Object.py, 39 - Button stop_typing intersection check failed
4:57:12.194484 - Interface_Object.py, 40 - Button exit intersection check
4:57:12.194484 - Interface_Object.py, 41 - Button exit press check
4:57:12.194484 - Interface_Object.py, 42 - Button exit intersection check failed
4:57:12.194484 - Interface_Object.py, 43 - Button start_typing intersection check
4:57:12.194484 - Interface_Object.py, 44 - Button start_typing press check
4:57:12.194484 - Interface_Object.py, 45 - Button start_typing intersection check failed
4:57:12.194484 - Interface_Object.py, 46 - Button stop_typing intersection check
4:57:12.194484 - Interface_Object.py, 47 - Button stop_typing press check
4:57:12.194484 - Interface_Object.py, 48 - Button stop_typing intersection check failed
4:57:12.194484 - Interface_Object.py, 49 - Button exit intersection check
4:57:12.194484 - Interface_Object.py, 50 - Button exit press check
4:57:12.194484 - Interface_Object.py, 51 - Button exit intersection check failed
4:57:12.194484 - Interface_Object.py, 52 - Button start_typing intersection check
4:57:12.194484 - Interface_Object.py, 53 - Button start_typing press check
4:57:12.194484 - Interface_Object.py, 54 - Button start_typing intersection check failed
4:57:12.194484 - Interface_Object.py, 55 - Button stop_typing intersection check
4:57:12.194484 - Interface_Object.py, 56 - Button stop_typing press check
4:57:12.194484 - Interface_Object.py, 57 - Button stop_typing intersection check failed
4:57:12.194484 - Interface_Object.py, 58 - Button exit intersection check
4:57:12.194484 - Interface_Object.py, 59 - Button exit press check
4:57:12.194484 - Interface_Object.py, 60 - Button exit intersection check failed
4:57:12.194484 - Interface_Object.py, 61 - Button start_typing intersection check
4:57:12.194484 - Interface_Object.py, 62 - Button start_typing press check
4:57:12.194484 - Interface_Object.py, 63 - Button start_typing intersection check failed
4:57:12.194484 - Interface_Object.py, 64 - Button stop_typing intersection check
4:57:12.194484 - Interface_Object.py, 65 - Button stop_typing press check
4:57:12.194484 - Interface_Object.py, 66 - Button stop_typing intersection check failed
4:57:12.194484 - Interface_Object.py, 67 - Button exit intersection check
4:57:12.194484 - Interface_Object.py, 68 - Button exit press check
4:57:12.194484 - Interface_Object.py, 69 - Button exit intersection check failed
4:57:12.194484 - Interface_Object.py, 70 - Button start_typing intersection check
4:57:12.194484 - Interface_Object.py, 71 - Button start_typing press check
4:57:12.194484 - Interface_Object.py, 72 - Button start_typing intersection check failed
4:57:12.203885 - Interface_Object.py, 73 - Button stop_typing intersection check
4:57:12.204089 - Interface_Object.py, 74 - Button stop_typing press check
4:57:12.204089 - Interface_Object.py, 75 - Button stop_typing intersection check failed
4:57:12.204089 - Interface_Object.py, 76 - Button exit intersection check
4:57:12.204089 - Interface_Object.py, 77 - Button exit intersection check failed
4:57:12.204089 - Interface_Object.py, 78 - Button exit press check
4:57:12.204089 - Interface_Object.py, 79 - Button exit intersection check failed
4:57:12.204089 - Interface_Object.py, 80 - Button start_typing intersection check
4:57:12.204089 - Interface_Object.py, 81 - Button start_typing intersection check failed
