4:30:43.186488 - debugger.py, 1 - Started
4:30:43.186488 - Brain.py, 2 - Started
4:30:43.190490 - cfg_parser.py, 3 - Started
4:30:43.195491 - Interface_Object.py, 4 - Started
4:30:43.195491 - Interface_Object.py, 5 - Initialising constants
4:30:43.196491 - Interface_Object.py, 6 - Constants initialised
4:30:43.196491 - Interface_Object.py, 7 - Interface objects initialising
4:30:43.223498 - Interface_Object.py, 8 - Button exit initialising
4:30:43.223498 - Interface_Object.py, 9 - Button exit initialised as dynamic
4:30:43.223498 - Interface_Object.py, 10 - Button exit initialised
4:30:43.225497 - Interface_Object.py, 11 - Button start_typing initialising
4:30:43.225497 - Interface_Object.py, 12 - Button start_typing initialised as dynamic
4:30:43.225497 - Interface_Object.py, 13 - Button start_typing initialised
4:30:43.225497 - Interface_Object.py, 14 - Interface objects initialised
4:30:43.225497 - Interface.py, 15 - Started
4:30:43.225497 - Interface.py, 16 - Initialising display
4:30:43.389536 - Interface.py, 17 - Display initialised
4:30:43.390537 - Interface.py, 18 - Main cycle iteration
4:30:43.407548 - Interface_Object.py, 19 - Button exit intersection check
4:30:43.407548 - Interface_Object.py, 20 - Button exit press check
4:30:43.407548 - Interface_Object.py, 21 - Button exit intersection check failed
4:30:43.407548 - Interface_Object.py, 22 - Button start_typing intersection check
4:30:43.407548 - Interface_Object.py, 23 - Button start_typing press check
4:30:43.407548 - Interface_Object.py, 24 - Button start_typing intersection check failed
4:30:43.407548 - Interface_Object.py, 25 - Button exit intersection check
4:30:43.407548 - Interface_Object.py, 26 - Button exit press check
4:30:43.407548 - Interface_Object.py, 27 - Button exit intersection check failed
4:30:43.407548 - Interface_Object.py, 28 - Button start_typing intersection check
4:30:43.407548 - Interface_Object.py, 29 - Button start_typing press check
4:30:43.407548 - Interface_Object.py, 30 - Button start_typing intersection check failed
4:30:43.407548 - Interface_Object.py, 31 - Button exit intersection check
4:30:43.407548 - Interface_Object.py, 32 - Button exit press check
4:30:43.407548 - Interface_Object.py, 33 - Button exit intersection check failed
4:30:43.408548 - Interface_Object.py, 34 - Button start_typing intersection check
4:30:43.408548 - Interface_Object.py, 35 - Button start_typing press check
4:30:43.408548 - Interface_Object.py, 36 - Button start_typing intersection check failed
4:30:43.408548 - Interface_Object.py, 37 - Button exit intersection check
4:30:43.408548 - Interface_Object.py, 38 - Button exit press check
4:30:43.408548 - Interface_Object.py, 39 - Button exit intersection check failed
4:30:43.408548 - Interface_Object.py, 40 - Button start_typing intersection check
4:30:43.408548 - Interface_Object.py, 41 - Button start_typing press check
4:30:43.408548 - Interface_Object.py, 42 - Button start_typing intersection check failed
4:30:43.408548 - Interface_Object.py, 43 - Button exit intersection check
4:30:43.408548 - Interface_Object.py, 44 - Button exit press check
4:30:43.408548 - Interface_Object.py, 45 - Button exit intersection check failed
4:30:43.408548 - Interface_Object.py, 46 - Button start_typing intersection check
4:30:43.408548 - Interface_Object.py, 47 - Button start_typing press check
4:30:43.408548 - Interface_Object.py, 48 - Button start_typing intersection check failed
4:30:43.408548 - Interface_Object.py, 49 - Button exit intersection check
4:30:43.408548 - Interface_Object.py, 50 - Button exit press check
4:30:43.408548 - Interface_Object.py, 51 - Button exit intersection check failed
4:30:43.408548 - Interface_Object.py, 52 - Button start_typing intersection check
4:30:43.408548 - Interface_Object.py, 53 - Button start_typing press check
4:30:43.408548 - Interface_Object.py, 54 - Button start_typing intersection check failed
4:30:43.408548 - Interface_Object.py, 55 - Button exit intersection check
4:30:43.408548 - Interface_Object.py, 56 - Button exit intersection check failed
4:30:43.408548 - Interface_Object.py, 57 - Button exit press check
4:30:43.408548 - Interface_Object.py, 58 - Button exit intersection check failed
4:30:43.408548 - Interface_Object.py, 59 - Button start_typing intersection check
4:30:43.408548 - Interface_Object.py, 60 - Button start_typing intersection check failed
4:30:43.408548 - Interface_Object.py, 61 - Button start_typing press check
4:30:43.408548 - Interface_Object.py, 62 - Button start_typing intersection check failed
4:30:43.408548 - Interface_Object.py, 63 - Button exit intersection check
4:30:43.408548 - Interface_Object.py, 64 - Button exit press check
4:30:43.408548 - Interface_Object.py, 65 - Button exit intersection check failed
4:30:43.408548 - Interface_Object.py, 66 - Button start_typing intersection check
4:30:43.408548 - Interface_Object.py, 67 - Button start_typing press check
4:30:43.408548 - Interface_Object.py, 68 - Button start_typing intersection check failed
4:30:43.408548 - Interface_Object.py, 69 - Button exit intersection check
4:30:43.422781 - Interface_Object.py, 70 - Button exit press check
4:30:43.422781 - Interface_Object.py, 71 - Button exit intersection check failed
4:30:43.422781 - Interface_Object.py, 72 - Button start_typing intersection check
4:30:43.422781 - Interface_Object.py, 73 - Button start_typing press check
4:30:43.422781 - Interface_Object.py, 74 - Button start_typing intersection check failed
4:30:43.422781 - Interface_Object.py, 75 - Button exit intersection check
4:30:43.422781 - Interface_Object.py, 76 - Button exit press check
4:30:43.422781 - Interface_Object.py, 77 - Button exit intersection check failed
4:30:43.422781 - Interface_Object.py, 78 - Button start_typing intersection check
4:30:43.422781 - Interface_Object.py, 79 - Button start_typing press check
4:30:43.422781 - Interface_Object.py, 80 - Button start_typing intersection check failed
4:30:43.422781 - Interface_Object.py, 81 - Button exit intersection check
4:30:43.422781 - Interface_Object.py, 82 - Button exit press check
4:30:43.422781 - Interface_Object.py, 83 - Button exit intersection check failed
4:30:43.422781 - Interface_Object.py, 84 - Button start_typing intersection check
4:30:43.422781 - Interface_Object.py, 85 - Button start_typing press check
4:30:43.422781 - Interface_Object.py, 86 - Button start_typing intersection check failed
4:30:43.422781 - Interface_Object.py, 87 - Button exit intersection check
4:30:43.422781 - Interface_Object.py, 88 - Button exit intersection check failed
4:30:43.422781 - Interface_Object.py, 89 - Button exit press check
4:30:43.422781 - Interface_Object.py, 90 - Button exit intersection check failed
4:30:43.422781 - Interface_Object.py, 91 - Button start_typing intersection check
4:30:43.422781 - Interface_Object.py, 92 - Button start_typing intersection check failed
4:30:43.422781 - Interface_Object.py, 93 - Button start_typing press check
4:30:43.422781 - Interface_Object.py, 94 - Button start_typing intersection check failed
4:30:43.422781 - Interface_Object.py, 95 - Button exit intersection check
4:30:43.422781 - Interface_Object.py, 96 - Button exit press check
4:30:43.422781 - Interface_Object.py, 97 - Button exit intersection check failed
4:30:43.422781 - Interface_Object.py, 98 - Button start_typing intersection check
4:30:43.422781 - Interface_Object.py, 99 - Button start_typing press check
4:30:43.422781 - Interface_Object.py, 100 - Button start_typing intersection check failed
4:30:43.422781 - Interface_Object.py, 101 - Button exit intersection check
4:30:43.422781 - Interface_Object.py, 102 - Button exit press check
4:30:43.422781 - Interface_Object.py, 103 - Button exit intersection check failed
4:30:43.422781 - Interface_Object.py, 104 - Button start_typing intersection check
4:30:43.422781 - Interface_Object.py, 105 - Button start_typing press check
4:30:43.422781 - Interface_Object.py, 106 - Button start_typing intersection check failed
4:30:43.422781 - Interface.py, 107 - Rendering
4:30:43.422781 - Interface.py, 108 - Rendering sprite
4:30:43.427783 - Interface.py, 109 - Rendering sprite
4:30:43.431784 - Interface.py, 110 - Rendering sprite
4:30:43.436786 - Interface_Object.py, 111 - Button exit rendering
4:30:43.437786 - Interface_Object.py, 112 - Button start_typing rendering
4:30:43.438786 - Interface.py, 113 - Main cycle iteration
4:30:43.455789 - Interface.py, 114 - Rendering
4:30:43.455789 - Interface.py, 115 - Rendering sprite
4:30:43.460791 - Interface.py, 116 - Rendering sprite
4:30:43.465791 - Interface.py, 117 - Rendering sprite
4:30:43.470334 - Interface_Object.py, 118 - Button exit rendering
4:30:43.470334 - Interface_Object.py, 119 - Button start_typing rendering
4:30:43.471333 - Interface.py, 120 - Main cycle iteration
4:30:43.488341 - Interface.py, 121 - Rendering
4:30:43.488341 - Interface.py, 122 - Rendering sprite
4:30:43.492343 - Interface.py, 123 - Rendering sprite
4:30:43.497344 - Interface.py, 124 - Rendering sprite
4:30:43.501850 - Interface_Object.py, 125 - Button exit rendering
4:30:43.501850 - Interface_Object.py, 126 - Button start_typing rendering
4:30:43.502851 - Interface.py, 127 - Main cycle iteration
4:30:43.520353 - Interface.py, 128 - Rendering
4:30:43.520353 - Interface.py, 129 - Rendering sprite
4:30:43.524354 - Interface.py, 130 - Rendering sprite
4:30:43.529357 - Interface.py, 131 - Rendering sprite
4:30:43.533356 - Interface_Object.py, 132 - Button exit rendering
4:30:43.534357 - Interface_Object.py, 133 - Button start_typing rendering
4:30:43.535357 - Interface.py, 134 - Main cycle iteration
4:30:43.551724 - Interface.py, 135 - Rendering
4:30:43.551724 - Interface.py, 136 - Rendering sprite
4:30:43.556228 - Interface.py, 137 - Rendering sprite
4:30:43.560229 - Interface.py, 138 - Rendering sprite
4:30:43.565230 - Interface_Object.py, 139 - Button exit rendering
4:30:43.565230 - Interface_Object.py, 140 - Button start_typing rendering
4:30:43.566231 - Interface.py, 141 - Main cycle iteration
4:30:43.583241 - Interface.py, 142 - Rendering
4:30:43.583241 - Interface.py, 143 - Rendering sprite
4:30:43.587745 - Interface.py, 144 - Rendering sprite
4:30:43.591747 - Interface.py, 145 - Rendering sprite
4:30:43.596748 - Interface_Object.py, 146 - Button exit rendering
4:30:43.596748 - Interface_Object.py, 147 - Button start_typing rendering
4:30:43.597748 - Interface.py, 148 - Main cycle iteration
4:30:43.615265 - Interface.py, 149 - Rendering
4:30:43.615265 - Interface.py, 150 - Rendering sprite
4:30:43.619267 - Interface.py, 151 - Rendering sprite
4:30:43.624268 - Interface.py, 152 - Rendering sprite
4:30:43.629004 - Interface_Object.py, 153 - Button exit rendering
4:30:43.629269 - Interface_Object.py, 154 - Button start_typing rendering
4:30:43.630270 - Interface.py, 155 - Main cycle iteration
4:30:43.647279 - Interface.py, 156 - Rendering
4:30:43.647279 - Interface.py, 157 - Rendering sprite
4:30:43.651785 - Interface.py, 158 - Rendering sprite
4:30:43.656290 - Interface.py, 159 - Rendering sprite
4:30:43.661292 - Interface_Object.py, 160 - Button exit rendering
4:30:43.661292 - Interface_Object.py, 161 - Button start_typing rendering
4:30:43.662292 - Interface.py, 162 - Main cycle iteration
4:30:43.679301 - Interface.py, 163 - Rendering
4:30:43.679301 - Interface.py, 164 - Rendering sprite
4:30:43.683297 - Interface.py, 165 - Rendering sprite
4:30:43.688298 - Interface.py, 166 - Rendering sprite
4:30:43.693299 - Interface_Object.py, 167 - Button exit rendering
4:30:43.693299 - Interface_Object.py, 168 - Button start_typing rendering
4:30:43.694300 - Interface.py, 169 - Main cycle iteration
4:30:43.711306 - Interface.py, 170 - Rendering
4:30:43.711306 - Interface.py, 171 - Rendering sprite
4:30:43.715305 - Interface.py, 172 - Rendering sprite
4:30:43.720311 - Interface.py, 173 - Rendering sprite
4:30:43.725312 - Interface_Object.py, 174 - Button exit rendering
4:30:43.725312 - Interface_Object.py, 175 - Button start_typing rendering
4:30:43.726311 - Interface.py, 176 - Main cycle iteration
4:30:43.743318 - Interface.py, 177 - Rendering
4:30:43.743318 - Interface.py, 178 - Rendering sprite
4:30:43.747319 - Interface.py, 179 - Rendering sprite
4:30:43.752320 - Interface.py, 180 - Rendering sprite
4:30:43.756321 - Interface_Object.py, 181 - Button exit rendering
4:30:43.757322 - Interface_Object.py, 182 - Button start_typing rendering
4:30:43.758322 - Interface.py, 183 - Main cycle iteration
4:30:43.775333 - Interface.py, 184 - Rendering
4:30:43.775333 - Interface.py, 185 - Rendering sprite
4:30:43.779333 - Interface.py, 186 - Rendering sprite
4:30:43.784335 - Interface.py, 187 - Rendering sprite
4:30:43.789336 - Interface_Object.py, 188 - Button exit rendering
4:30:43.789336 - Interface_Object.py, 189 - Button start_typing rendering
4:30:43.790336 - Interface.py, 190 - Main cycle iteration
4:30:43.807547 - Interface.py, 191 - Rendering
4:30:43.807547 - Interface.py, 192 - Rendering sprite
4:30:43.811548 - Interface.py, 193 - Rendering sprite
4:30:43.815961 - Interface.py, 194 - Rendering sprite
4:30:43.820467 - Interface_Object.py, 195 - Button exit rendering
4:30:43.821466 - Interface_Object.py, 196 - Button start_typing rendering
4:30:43.822466 - Interface.py, 197 - Main cycle iteration
4:30:43.839238 - Interface.py, 198 - Rendering
4:30:43.839238 - Interface.py, 199 - Rendering sprite
4:30:43.843240 - Interface.py, 200 - Rendering sprite
4:30:43.848240 - Interface.py, 201 - Rendering sprite
4:30:43.853242 - Interface_Object.py, 202 - Button exit rendering
4:30:43.853242 - Interface_Object.py, 203 - Button start_typing rendering
4:30:43.854243 - Interface.py, 204 - Main cycle iteration
4:30:43.871210 - Interface.py, 205 - Rendering
4:30:43.871210 - Interface.py, 206 - Rendering sprite
4:30:43.875211 - Interface.py, 207 - Rendering sprite
4:30:43.880213 - Interface.py, 208 - Rendering sprite
4:30:43.885214 - Interface_Object.py, 209 - Button exit rendering
4:30:43.885214 - Interface_Object.py, 210 - Button start_typing rendering
4:30:43.886215 - Interface.py, 211 - Main cycle iteration
4:30:43.903218 - Interface_Object.py, 212 - Button exit intersection check
4:30:43.903218 - Interface_Object.py, 213 - Button exit intersection check failed
4:30:43.903218 - Interface_Object.py, 214 - Button exit press check
4:30:43.903218 - Interface_Object.py, 215 - Button exit intersection check failed
4:30:43.903218 - Interface_Object.py, 216 - Button start_typing intersection check
4:30:43.903218 - Interface_Object.py, 217 - Button start_typing intersection check failed
4:30:43.903218 - Interface_Object.py, 218 - Button start_typing press check
4:30:43.903218 - Interface_Object.py, 219 - Button start_typing intersection check failed
4:30:43.903218 - Interface.py, 220 - Rendering
4:30:43.903218 - Interface.py, 221 - Rendering sprite
4:30:43.907219 - Interface.py, 222 - Rendering sprite
4:30:43.912220 - Interface.py, 223 - Rendering sprite
4:30:43.917222 - Interface_Object.py, 224 - Button exit rendering
4:30:43.917222 - Interface_Object.py, 225 - Button start_typing rendering
4:30:43.918226 - Interface.py, 226 - Main cycle iteration
4:30:43.935233 - Interface_Object.py, 227 - Button exit intersection check
4:30:43.935233 - Interface_Object.py, 228 - Button exit intersection check failed
4:30:43.935233 - Interface_Object.py, 229 - Button exit press check
4:30:43.935233 - Interface_Object.py, 230 - Button exit intersection check failed
4:30:43.935233 - Interface_Object.py, 231 - Button start_typing intersection check
4:30:43.935233 - Interface_Object.py, 232 - Button start_typing intersection check failed
4:30:43.935233 - Interface_Object.py, 233 - Button start_typing press check
4:30:43.935233 - Interface_Object.py, 234 - Button start_typing intersection check failed
4:30:43.935233 - Interface_Object.py, 235 - Button exit intersection check
4:30:43.935233 - Interface_Object.py, 236 - Button exit intersection check failed
4:30:43.935233 - Interface_Object.py, 237 - Button exit press check
4:30:43.935233 - Interface_Object.py, 238 - Button exit intersection check failed
4:30:43.935233 - Interface_Object.py, 239 - Button start_typing intersection check
4:30:43.935233 - Interface_Object.py, 240 - Button start_typing intersection check failed
4:30:43.935233 - Interface_Object.py, 241 - Button start_typing press check
4:30:43.935233 - Interface_Object.py, 242 - Button start_typing intersection check failed
4:30:43.935233 - Interface.py, 243 - Rendering
4:30:43.935233 - Interface.py, 244 - Rendering sprite
4:30:43.940234 - Interface.py, 245 - Rendering sprite
4:30:43.945235 - Interface.py, 246 - Rendering sprite
4:30:43.949954 - Interface_Object.py, 247 - Button exit rendering
4:30:43.949954 - Interface_Object.py, 248 - Button start_typing rendering
4:30:43.950954 - Interface.py, 249 - Main cycle iteration
4:30:43.968244 - Interface_Object.py, 250 - Button exit intersection check
4:30:43.968244 - Interface_Object.py, 251 - Button exit intersection check failed
4:30:43.968244 - Interface_Object.py, 252 - Button exit press check
4:30:43.968244 - Interface_Object.py, 253 - Button exit intersection check failed
4:30:43.968244 - Interface_Object.py, 254 - Button start_typing intersection check
4:30:43.968244 - Interface_Object.py, 255 - Button start_typing intersection check failed
4:30:43.968244 - Interface_Object.py, 256 - Button start_typing press check
4:30:43.968244 - Interface_Object.py, 257 - Button start_typing intersection check failed
4:30:43.968244 - Interface_Object.py, 258 - Button exit intersection check
4:30:43.968244 - Interface_Object.py, 259 - Button exit intersection check failed
4:30:43.968244 - Interface_Object.py, 260 - Button exit press check
4:30:43.968244 - Interface_Object.py, 261 - Button exit intersection check failed
4:30:43.968244 - Interface_Object.py, 262 - Button start_typing intersection check
4:30:43.968244 - Interface_Object.py, 263 - Button start_typing intersection check failed
4:30:43.968244 - Interface_Object.py, 264 - Button start_typing press check
4:30:43.968244 - Interface_Object.py, 265 - Button start_typing intersection check failed
4:30:43.968244 - Interface.py, 266 - Rendering
4:30:43.968244 - Interface.py, 267 - Rendering sprite
4:30:43.973245 - Interface.py, 268 - Rendering sprite
4:30:43.978246 - Interface.py, 269 - Rendering sprite
4:30:43.982248 - Interface_Object.py, 270 - Button exit rendering
4:30:43.983248 - Interface_Object.py, 271 - Button start_typing rendering
4:30:43.983248 - Interface.py, 272 - Main cycle iteration
4:30:44.1255 - Interface_Object.py, 273 - Button exit intersection check
4:30:44.1255 - Interface_Object.py, 274 - Button exit intersection check failed
4:30:44.1255 - Interface_Object.py, 275 - Button exit press check
4:30:44.1255 - Interface_Object.py, 276 - Button exit intersection check failed
