4:36:20.647048 - debugger.py, 1 - Started
4:36:20.647048 - Brain.py, 2 - Started
4:36:20.650049 - cfg_parser.py, 3 - Started
4:36:20.655051 - Interface_Object.py, 4 - Started
4:36:20.655051 - Interface_Object.py, 5 - Initialising constants
4:36:20.656051 - Interface_Object.py, 6 - Constants initialised
4:36:20.656051 - Interface_Object.py, 7 - Interface objects initialising
4:36:20.666054 - Interface_Object.py, 8 - Button exit initialising
4:36:20.666054 - Interface_Object.py, 9 - Button exit initialised as dynamic
4:36:20.666054 - Interface_Object.py, 10 - Button exit initialised
4:36:20.667053 - Interface_Object.py, 11 - Button start_typing initialising
4:36:20.667053 - Interface_Object.py, 12 - Button start_typing initialised as dynamic
4:36:20.667053 - Interface_Object.py, 13 - Button start_typing initialised
4:36:20.668054 - Interface_Object.py, 14 - Button stop_typing initialising
4:36:20.668054 - Interface_Object.py, 15 - Button stop_typing initialised as dynamic
4:36:20.668054 - Interface_Object.py, 16 - Button stop_typing initialised
4:36:20.668054 - Interface_Object.py, 17 - Interface objects initialised
4:36:20.668054 - Interface.py, 18 - Started
4:36:20.668054 - Interface.py, 19 - Initialising display
4:36:20.819090 - Interface.py, 20 - Display initialised
4:36:20.819090 - Interface.py, 21 - Main cycle iteration
4:36:20.836096 - Interface_Object.py, 22 - Button exit intersection check
4:36:20.836096 - Interface_Object.py, 23 - Button exit press check
4:36:20.836096 - Interface_Object.py, 24 - Button exit intersection check failed
4:36:20.836096 - Interface_Object.py, 25 - Button start_typing intersection check
4:36:20.836096 - Interface_Object.py, 26 - Button start_typing press check
4:36:20.836096 - Interface_Object.py, 27 - Button start_typing intersection check failed
4:36:20.836096 - Interface_Object.py, 28 - Button stop_typing intersection check
4:36:20.836096 - Interface_Object.py, 29 - Button stop_typing press check
4:36:20.836096 - Interface_Object.py, 30 - Button stop_typing intersection check failed
4:36:20.836096 - Interface_Object.py, 31 - Button exit intersection check
4:36:20.836096 - Interface_Object.py, 32 - Button exit press check
4:36:20.836096 - Interface_Object.py, 33 - Button exit intersection check failed
4:36:20.836096 - Interface_Object.py, 34 - Button start_typing intersection check
4:36:20.836096 - Interface_Object.py, 35 - Button start_typing press check
4:36:20.836096 - Interface_Object.py, 36 - Button start_typing intersection check failed
4:36:20.836096 - Interface_Object.py, 37 - Button stop_typing intersection check
4:36:20.836096 - Interface_Object.py, 38 - Button stop_typing press check
4:36:20.836096 - Interface_Object.py, 39 - Button stop_typing intersection check failed
4:36:20.836096 - Interface_Object.py, 40 - Button exit intersection check
4:36:20.836096 - Interface_Object.py, 41 - Button exit press check
4:36:20.836096 - Interface_Object.py, 42 - Button exit intersection check failed
4:36:20.836096 - Interface_Object.py, 43 - Button start_typing intersection check
4:36:20.836096 - Interface_Object.py, 44 - Button start_typing press check
4:36:20.836096 - Interface_Object.py, 45 - Button start_typing intersection check failed
4:36:20.837096 - Interface_Object.py, 46 - Button stop_typing intersection check
4:36:20.837096 - Interface_Object.py, 47 - Button stop_typing press check
4:36:20.837096 - Interface_Object.py, 48 - Button stop_typing intersection check failed
4:36:20.837096 - Interface_Object.py, 49 - Button exit intersection check
4:36:20.837096 - Interface_Object.py, 50 - Button exit press check
