5:6:18.492787 - debugger.py, 1 - Started
5:6:18.680620 - Interface_Object.py, 97 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 98 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 99 - Button exit press check
5:6:18.680620 - Interface_Object.py, 100 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 101 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 102 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 103 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 104 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 105 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 106 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 107 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 108 - Button exit press check
5:6:18.680620 - Interface_Object.py, 109 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 110 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 111 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 112 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 113 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 114 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 115 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 116 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 117 - Button exit press check
5:6:18.680620 - Interface_Object.py, 118 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 119 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 120 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 121 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 122 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 123 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 124 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 125 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 126 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 127 - Button exit press check
5:6:18.680620 - Interface_Object.py, 128 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 129 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 130 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 131 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 132 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 133 - Button stop_typing intersection check
5:6:18.680620 - Interface_Object.py, 134 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 135 - Button stop_typing press check
5:6:18.680620 - Interface_Object.py, 136 - Button stop_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 137 - Button exit intersection check
5:6:18.680620 - Interface_Object.py, 138 - Button exit press check
5:6:18.680620 - Interface_Object.py, 139 - Button exit intersection check failed
5:6:18.680620 - Interface_Object.py, 140 - Button start_typing intersection check
5:6:18.680620 - Interface_Object.py, 141 - Button start_typing press check
5:6:18.680620 - Interface_Object.py, 142 - Button start_typing intersection check failed
5:6:18.680620 - Interface_Object.py, 143 - Button stop_typing intersection check
5:6:18.681621 - Interface_Object.py, 144 - Button stop_typing press check
5:6:18.681621 - Interface_Object.py, 145 - Button stop_typing intersection check failed
5:6:18.681621 - Interface_Object.py, 146 - Button exit intersection check
5:6:18.681621 - Interface_Object.py, 147 - Button exit press check
5:6:18.681621 - Interface_Object.py, 148 - Button exit intersection check failed
5:6:18.681621 - Interface_Object.py, 149 - Button start_typing intersection check
5:6:18.681621 - Interface_Object.py, 150 - Button start_typing press check
5:6:18.681621 - Interface_Object.py, 151 - Button start_typing intersection check failed
5:6:18.681621 - Interface_Object.py, 152 - Button stop_typing intersection check
5:6:18.681621 - Interface_Object.py, 153 - Button stop_typing press check
5:6:18.681621 - Interface_Object.py, 154 - Button stop_typing intersection check failed
5:6:18.681621 - Interface.py, 155 - Rendering
5:6:18.681621 - Interface.py, 156 - Rendering sprite
5:6:18.685622 - Interface.py, 157 - Rendering sprite
5:6:18.690623 - Interface.py, 158 - Rendering sprite
5:6:18.694624 - Interface_Object.py, 159 - Button exit rendering
5:6:18.695624 - Interface_Object.py, 160 - Button start_typing rendering
5:6:18.696624 - Interface_Object.py, 161 - Button stop_typing rendering
5:6:18.696624 - Interface_Object.py, 162 - Textbar cam_id_textbar rendering
5:6:18.698625 - Interface.py, 163 - Main cycle iteration
5:6:18.715634 - Interface.py, 164 - Rendering
5:6:18.715634 - Interface.py, 165 - Rendering sprite
5:6:18.719635 - Interface.py, 166 - Rendering sprite
5:6:18.724636 - Interface.py, 167 - Rendering sprite
5:6:18.729637 - Interface_Object.py, 168 - Button exit rendering
5:6:18.729637 - Interface_Object.py, 169 - Button start_typing rendering
5:6:18.729637 - Interface_Object.py, 170 - Button stop_typing rendering
5:6:18.730637 - Interface_Object.py, 171 - Textbar cam_id_textbar rendering
5:6:18.732638 - Interface.py, 172 - Main cycle iteration
5:6:18.749651 - Interface.py, 173 - Rendering
5:6:18.749651 - Interface.py, 174 - Rendering sprite
5:6:18.753652 - Interface.py, 175 - Rendering sprite
5:6:18.758653 - Interface.py, 176 - Rendering sprite
5:6:18.762654 - Interface_Object.py, 177 - Button exit rendering
5:6:18.763654 - Interface_Object.py, 178 - Button start_typing rendering
5:6:18.763654 - Interface_Object.py, 179 - Button stop_typing rendering
5:6:18.764654 - Interface_Object.py, 180 - Textbar cam_id_textbar rendering
5:6:18.765654 - Interface.py, 181 - Main cycle iteration
5:6:18.782672 - Interface.py, 182 - Rendering
5:6:18.782672 - Interface.py, 183 - Rendering sprite
5:6:18.786673 - Interface.py, 184 - Rendering sprite
5:6:18.791674 - Interface.py, 185 - Rendering sprite
5:6:18.796675 - Interface_Object.py, 186 - Button exit rendering
5:6:18.796675 - Interface_Object.py, 187 - Button start_typing rendering
5:6:18.796675 - Interface_Object.py, 188 - Button stop_typing rendering
5:6:18.797676 - Interface_Object.py, 189 - Textbar cam_id_textbar rendering
5:6:18.797676 - Interface.py, 190 - Main cycle iteration
5:6:18.814687 - Interface.py, 191 - Rendering
5:6:18.814687 - Interface.py, 192 - Rendering sprite
5:6:18.818686 - Interface.py, 193 - Rendering sprite
5:6:18.823687 - Interface.py, 194 - Rendering sprite
5:6:18.828690 - Interface_Object.py, 195 - Button exit rendering
5:6:18.828690 - Interface_Object.py, 196 - Button start_typing rendering
5:6:18.828690 - Interface_Object.py, 197 - Button stop_typing rendering
5:6:18.829690 - Interface_Object.py, 198 - Textbar cam_id_textbar rendering
5:6:18.829690 - Interface.py, 199 - Main cycle iteration
5:6:18.846694 - Interface.py, 200 - Rendering
5:6:18.846694 - Interface.py, 201 - Rendering sprite
5:6:18.850695 - Interface.py, 202 - Rendering sprite
5:6:18.855697 - Interface.py, 203 - Rendering sprite
5:6:18.859697 - Interface_Object.py, 204 - Button exit rendering
5:6:18.860698 - Interface_Object.py, 205 - Button start_typing rendering
5:6:18.860698 - Interface_Object.py, 206 - Button stop_typing rendering
5:6:18.860698 - Interface_Object.py, 207 - Textbar cam_id_textbar rendering
5:6:18.861698 - Interface.py, 208 - Main cycle iteration
5:6:18.879355 - Interface.py, 209 - Rendering
5:6:18.879355 - Interface.py, 210 - Rendering sprite
5:6:18.883355 - Interface.py, 211 - Rendering sprite
5:6:18.888356 - Interface.py, 212 - Rendering sprite
5:6:18.892357 - Interface_Object.py, 213 - Button exit rendering
5:6:18.893357 - Interface_Object.py, 214 - Button start_typing rendering
5:6:18.893357 - Interface_Object.py, 215 - Button stop_typing rendering
5:6:18.893357 - Interface_Object.py, 216 - Textbar cam_id_textbar rendering
5:6:18.894358 - Interface.py, 217 - Main cycle iteration
5:6:18.911346 - Interface.py, 218 - Rendering
5:6:18.911346 - Interface.py, 219 - Rendering sprite
5:6:18.915347 - Interface.py, 220 - Rendering sprite
5:6:18.920348 - Interface.py, 221 - Rendering sprite
5:6:18.924349 - Interface_Object.py, 222 - Button exit rendering
5:6:18.925349 - Interface_Object.py, 223 - Button start_typing rendering
5:6:18.925349 - Interface_Object.py, 224 - Button stop_typing rendering
5:6:18.925349 - Interface_Object.py, 225 - Textbar cam_id_textbar rendering
5:6:18.926349 - Interface.py, 226 - Main cycle iteration
5:6:18.943357 - Interface.py, 227 - Rendering
5:6:18.943357 - Interface.py, 228 - Rendering sprite
5:6:18.947366 - Interface.py, 229 - Rendering sprite
5:6:18.952359 - Interface.py, 230 - Rendering sprite
5:6:18.956360 - Interface_Object.py, 231 - Button exit rendering
5:6:18.957360 - Interface_Object.py, 232 - Button start_typing rendering
5:6:18.957360 - Interface_Object.py, 233 - Button stop_typing rendering
5:6:18.958361 - Interface_Object.py, 234 - Textbar cam_id_textbar rendering
5:6:18.958361 - Interface.py, 235 - Main cycle iteration
5:6:18.975372 - Interface.py, 236 - Rendering
5:6:18.975372 - Interface.py, 237 - Rendering sprite
5:6:18.979373 - Interface.py, 238 - Rendering sprite
5:6:18.984375 - Interface.py, 239 - Rendering sprite
5:6:18.989375 - Interface_Object.py, 240 - Button exit rendering
5:6:18.989375 - Interface_Object.py, 241 - Button start_typing rendering
5:6:18.989375 - Interface_Object.py, 242 - Button stop_typing rendering
5:6:18.990375 - Interface_Object.py, 243 - Textbar cam_id_textbar rendering
5:6:18.991376 - Interface.py, 244 - Main cycle iteration
5:6:19.8379 - Interface.py, 245 - Rendering
5:6:19.8379 - Interface.py, 246 - Rendering sprite
5:6:19.12381 - Interface.py, 247 - Rendering sprite
5:6:19.17382 - Interface.py, 248 - Rendering sprite
5:6:19.22383 - Interface_Object.py, 249 - Button exit rendering
5:6:19.22383 - Interface_Object.py, 250 - Button start_typing rendering
5:6:19.22383 - Interface_Object.py, 251 - Button stop_typing rendering
5:6:19.23383 - Interface_Object.py, 252 - Textbar cam_id_textbar rendering
5:6:19.23383 - Interface.py, 253 - Main cycle iteration
5:6:19.40387 - Interface.py, 254 - Rendering
5:6:19.40387 - Interface.py, 255 - Rendering sprite
5:6:19.44388 - Interface.py, 256 - Rendering sprite
5:6:19.49389 - Interface.py, 257 - Rendering sprite
5:6:19.54390 - Interface_Object.py, 258 - Button exit rendering
5:6:19.54390 - Interface_Object.py, 259 - Button start_typing rendering
5:6:19.54390 - Interface_Object.py, 260 - Button stop_typing rendering
5:6:19.55391 - Interface_Object.py, 261 - Textbar cam_id_textbar rendering
5:6:19.55391 - Interface.py, 262 - Main cycle iteration
5:6:19.72399 - Interface.py, 263 - Rendering
5:6:19.72399 - Interface.py, 264 - Rendering sprite
5:6:19.76401 - Interface.py, 265 - Rendering sprite
5:6:19.81401 - Interface.py, 266 - Rendering sprite
5:6:19.86402 - Interface_Object.py, 267 - Button exit rendering
