4:29:1.152229 - debugger.py, 1 - Started
4:29:1.152229 - Brain.py, 2 - Started
4:29:1.156229 - cfg_parser.py, 3 - Started
4:29:1.161230 - Interface_Object.py, 4 - Started
4:29:1.161230 - Interface_Object.py, 5 - Initialising constants
4:29:1.162230 - Interface_Object.py, 6 - Constants initialised
4:29:1.162230 - Interface_Object.py, 7 - Interface objects initialising
4:29:1.173233 - Interface_Object.py, 8 - Button exit initialising
4:29:1.173233 - Interface_Object.py, 9 - Button exit initialised as dynamic
4:29:1.173233 - Interface_Object.py, 10 - Button exit initialised
4:29:1.174233 - Interface_Object.py, 11 - Button start_typing initialising
4:29:1.174233 - Interface_Object.py, 12 - Button start_typing initialised as dynamic
4:29:1.174233 - Interface_Object.py, 13 - Button start_typing initialised
4:29:1.174233 - Interface_Object.py, 14 - Interface objects initialised
4:29:1.174233 - Interface.py, 15 - Started
4:29:1.174233 - Interface.py, 16 - Initialising display
4:29:1.332271 - Interface.py, 17 - Display initialised
4:29:1.332271 - Interface.py, 18 - Main cycle iteration
4:29:1.348863 - Interface_Object.py, 19 - Button exit intersection check
4:29:1.348863 - Interface_Object.py, 20 - Button exit press check
4:29:1.348863 - Interface_Object.py, 21 - Button exit intersection check failed
4:29:1.348863 - Interface_Object.py, 22 - Button start_typing intersection check
4:29:1.348863 - Interface_Object.py, 23 - Button start_typing press check
4:29:1.348863 - Interface_Object.py, 24 - Button start_typing intersection check failed
4:29:1.348863 - Interface_Object.py, 25 - Button exit intersection check
4:29:1.349865 - Interface_Object.py, 26 - Button exit press check
4:29:1.349865 - Interface_Object.py, 27 - Button exit intersection check failed
4:29:1.349865 - Interface_Object.py, 28 - Button start_typing intersection check
4:29:1.349865 - Interface_Object.py, 29 - Button start_typing press check
4:29:1.349865 - Interface_Object.py, 30 - Button start_typing intersection check failed
4:29:1.349865 - Interface_Object.py, 31 - Button exit intersection check
4:29:1.349865 - Interface_Object.py, 32 - Button exit press check
4:29:1.349865 - Interface_Object.py, 33 - Button exit intersection check failed
4:29:1.349865 - Interface_Object.py, 34 - Button start_typing intersection check
4:29:1.349865 - Interface_Object.py, 35 - Button start_typing press check
4:29:1.349865 - Interface_Object.py, 36 - Button start_typing intersection check failed
4:29:1.349865 - Interface_Object.py, 37 - Button exit intersection check
4:29:1.349865 - Interface_Object.py, 38 - Button exit press check
4:29:1.349865 - Interface_Object.py, 39 - Button exit intersection check failed
4:29:1.349865 - Interface_Object.py, 40 - Button start_typing intersection check
4:29:1.349865 - Interface_Object.py, 41 - Button start_typing press check
4:29:1.349865 - Interface_Object.py, 42 - Button start_typing intersection check failed
4:29:1.349865 - Interface_Object.py, 43 - Button exit intersection check
4:29:1.349865 - Interface_Object.py, 44 - Button exit press check
4:29:1.349865 - Interface_Object.py, 45 - Button exit intersection check failed
4:29:1.349865 - Interface_Object.py, 46 - Button start_typing intersection check
4:29:1.349865 - Interface_Object.py, 47 - Button start_typing press check
4:29:1.349865 - Interface_Object.py, 48 - Button start_typing intersection check failed
4:29:1.349865 - Interface_Object.py, 49 - Button exit intersection check
4:29:1.349865 - Interface_Object.py, 50 - Button exit press check
4:29:1.349865 - Interface_Object.py, 51 - Button exit intersection check failed
4:29:1.349865 - Interface_Object.py, 52 - Button start_typing intersection check
4:29:1.349865 - Interface_Object.py, 53 - Button start_typing press check
4:29:1.349865 - Interface_Object.py, 54 - Button start_typing intersection check failed
4:29:1.349865 - Interface_Object.py, 55 - Button exit intersection check
4:29:1.349865 - Interface_Object.py, 56 - Button exit intersection check failed
4:29:1.349865 - Interface_Object.py, 57 - Button exit press check
4:29:1.349865 - Interface_Object.py, 58 - Button exit intersection check failed
4:29:1.349865 - Interface_Object.py, 59 - Button start_typing intersection check
4:29:1.349865 - Interface_Object.py, 60 - Button start_typing intersection check failed
4:29:1.349865 - Interface_Object.py, 61 - Button start_typing press check
4:29:1.349865 - Interface_Object.py, 62 - Button start_typing intersection check failed
4:29:1.349865 - Interface_Object.py, 63 - Button exit intersection check
4:29:1.349865 - Interface_Object.py, 64 - Button exit press check
4:29:1.349865 - Interface_Object.py, 65 - Button exit intersection check failed
4:29:1.349865 - Interface_Object.py, 66 - Button start_typing intersection check
4:29:1.349865 - Interface_Object.py, 67 - Button start_typing press check
4:29:1.349865 - Interface_Object.py, 68 - Button start_typing intersection check failed
4:29:1.349865 - Interface_Object.py, 69 - Button exit intersection check
4:29:1.349865 - Interface_Object.py, 70 - Button exit press check
4:29:1.355278 - Interface_Object.py, 71 - Button exit intersection check failed
4:29:1.355278 - Interface_Object.py, 72 - Button start_typing intersection check
4:29:1.355278 - Interface_Object.py, 73 - Button start_typing press check
4:29:1.355278 - Interface_Object.py, 74 - Button start_typing intersection check failed
4:29:1.355278 - Interface_Object.py, 75 - Button exit intersection check
4:29:1.355278 - Interface_Object.py, 76 - Button exit press check
4:29:1.355278 - Interface_Object.py, 77 - Button exit intersection check failed
4:29:1.355278 - Interface_Object.py, 78 - Button start_typing intersection check
4:29:1.355278 - Interface_Object.py, 79 - Button start_typing press check
4:29:1.355278 - Interface_Object.py, 80 - Button start_typing intersection check failed
4:29:1.355278 - Interface_Object.py, 81 - Button exit intersection check
4:29:1.355278 - Interface_Object.py, 82 - Button exit press check
4:29:1.355278 - Interface_Object.py, 83 - Button exit intersection check failed
4:29:1.355278 - Interface_Object.py, 84 - Button start_typing intersection check
4:29:1.355278 - Interface_Object.py, 85 - Button start_typing press check
4:29:1.355278 - Interface_Object.py, 86 - Button start_typing intersection check failed
4:29:1.355278 - Interface_Object.py, 87 - Button exit intersection check
4:29:1.355278 - Interface_Object.py, 88 - Button exit intersection check failed
4:29:1.355278 - Interface_Object.py, 89 - Button exit press check
4:29:1.355278 - Interface_Object.py, 90 - Button exit intersection check failed
4:29:1.355278 - Interface_Object.py, 91 - Button start_typing intersection check
4:29:1.355278 - Interface_Object.py, 92 - Button start_typing intersection check failed
4:29:1.355278 - Interface_Object.py, 93 - Button start_typing press check
4:29:1.355278 - Interface_Object.py, 94 - Button start_typing intersection check failed
4:29:1.355278 - Interface_Object.py, 95 - Button exit intersection check
4:29:1.355278 - Interface_Object.py, 96 - Button exit press check
