4:30:32.576043 - debugger.py, 1 - Started
4:30:32.576043 - Brain.py, 2 - Started
4:30:32.580043 - cfg_parser.py, 3 - Started
4:30:32.584045 - Interface_Object.py, 4 - Started
4:30:32.584045 - Interface_Object.py, 5 - Initialising constants
4:30:32.585045 - Interface_Object.py, 6 - Constants initialised
4:30:32.585045 - Interface_Object.py, 7 - Interface objects initialising
4:30:32.595047 - Interface_Object.py, 8 - Button exit initialising
4:30:32.595047 - Interface_Object.py, 9 - Button exit initialised as dynamic
4:30:32.595047 - Interface_Object.py, 10 - Button exit initialised
4:30:32.596047 - Interface_Object.py, 11 - Button start_typing initialising
4:30:32.596047 - Interface_Object.py, 12 - Button start_typing initialised as dynamic
4:30:32.596047 - Interface_Object.py, 13 - Button start_typing initialised
4:30:32.596047 - Interface_Object.py, 14 - Interface objects initialised
4:30:32.596047 - Interface.py, 15 - Started
4:30:32.596047 - Interface.py, 16 - Initialising display
4:30:32.757936 - Interface.py, 17 - Display initialised
4:30:32.757936 - Interface.py, 18 - Main cycle iteration
4:30:32.774949 - Interface_Object.py, 19 - Button exit intersection check
4:30:32.774949 - Interface_Object.py, 20 - Button exit press check
4:30:32.774949 - Interface_Object.py, 21 - Button exit intersection check failed
4:30:32.775949 - Interface_Object.py, 22 - Button start_typing intersection check
4:30:32.775949 - Interface_Object.py, 23 - Button start_typing press check
4:30:32.775949 - Interface_Object.py, 24 - Button start_typing intersection check failed
4:30:32.775949 - Interface_Object.py, 25 - Button exit intersection check
4:30:32.775949 - Interface_Object.py, 26 - Button exit press check
4:30:32.775949 - Interface_Object.py, 27 - Button exit intersection check failed
4:30:32.775949 - Interface_Object.py, 28 - Button start_typing intersection check
4:30:32.775949 - Interface_Object.py, 29 - Button start_typing press check
4:30:32.775949 - Interface_Object.py, 30 - Button start_typing intersection check failed
4:30:32.775949 - Interface_Object.py, 31 - Button exit intersection check
4:30:32.775949 - Interface_Object.py, 32 - Button exit press check
4:30:32.775949 - Interface_Object.py, 33 - Button exit intersection check failed
4:30:32.775949 - Interface_Object.py, 34 - Button start_typing intersection check
4:30:32.775949 - Interface_Object.py, 35 - Button start_typing press check
4:30:32.775949 - Interface_Object.py, 36 - Button start_typing intersection check failed
4:30:32.775949 - Interface_Object.py, 37 - Button exit intersection check
4:30:32.775949 - Interface_Object.py, 38 - Button exit press check
4:30:32.775949 - Interface_Object.py, 39 - Button exit intersection check failed
4:30:32.775949 - Interface_Object.py, 40 - Button start_typing intersection check
4:30:32.775949 - Interface_Object.py, 41 - Button start_typing press check
4:30:32.775949 - Interface_Object.py, 42 - Button start_typing intersection check failed
4:30:32.775949 - Interface_Object.py, 43 - Button exit intersection check
4:30:32.775949 - Interface_Object.py, 44 - Button exit press check
4:30:32.775949 - Interface_Object.py, 45 - Button exit intersection check failed
4:30:32.775949 - Interface_Object.py, 46 - Button start_typing intersection check
4:30:32.775949 - Interface_Object.py, 47 - Button start_typing press check
4:30:32.775949 - Interface_Object.py, 48 - Button start_typing intersection check failed
4:30:32.775949 - Interface_Object.py, 49 - Button exit intersection check
4:30:32.775949 - Interface_Object.py, 50 - Button exit press check
4:30:32.775949 - Interface_Object.py, 51 - Button exit intersection check failed
4:30:32.775949 - Interface_Object.py, 52 - Button start_typing intersection check
